,year,continent,deaths
0,1990,Africa,4117235
1,1990,Asia,7555572
2,1990,Europe,144344
3,1990,North America,274376
4,1990,Oceania,18274
5,1990,South America,416342
6,1991,Africa,4147129
7,1991,Asia,7319554
8,1991,Europe,135426
9,1991,North America,264248
10,1991,Oceania,18042
11,1991,South America,397706
12,1992,Africa,4177174
13,1992,Asia,7065915
14,1992,Europe,128264
15,1992,North America,254136
16,1992,Oceania,17845
17,1992,South America,378539
18,1993,Africa,4212312
19,1993,Asia,6804472
20,1993,Europe,120415
21,1993,North America,244102
22,1993,Oceania,17699
23,1993,South America,358993
24,1994,Africa,4277031
25,1994,Asia,6545469
26,1994,Europe,112179
27,1994,North America,234312
28,1994,Oceania,17595
29,1994,South America,339350
30,1995,Africa,4246657
31,1995,Asia,6290921
32,1995,Europe,103922
33,1995,North America,224804
34,1995,Oceania,17535
35,1995,South America,319993
36,1996,Africa,4253444
37,1996,Asia,6044364
38,1996,Europe,96835
39,1996,North America,215690
40,1996,Oceania,17493
41,1996,South America,301186
42,1997,Africa,4247163
43,1997,Asia,5804874
44,1997,Europe,90616
45,1997,North America,207027
46,1997,Oceania,17469
47,1997,South America,282962
48,1998,Africa,4226296
49,1998,Asia,5568674
50,1998,Europe,85200
51,1998,North America,204895
52,1998,Oceania,17440
53,1998,South America,265490
54,1999,Africa,4192059
55,1999,Asia,5334399
56,1999,Europe,80461
57,1999,North America,191278
58,1999,Oceania,17390
59,1999,South America,261493
60,2000,Africa,4143222
61,2000,Asia,5102369
62,2000,Europe,76290
63,2000,North America,184269
64,2000,Oceania,17319
65,2000,South America,232979
66,2001,Africa,4080059
67,2001,Asia,4874912
68,2001,Europe,72665
69,2001,North America,177751
70,2001,Oceania,17255
71,2001,South America,218063
72,2002,Africa,4007507
73,2002,Asia,4654393
74,2002,Europe,69520
75,2002,North America,171770
76,2002,Oceania,17176
77,2002,South America,203975
78,2003,Africa,3931661
79,2003,Asia,4444639
80,2003,Europe,66760
81,2003,North America,166185
82,2003,Oceania,17082
83,2003,South America,190811
84,2004,Africa,3854350
85,2004,Asia,4277720
86,2004,Europe,64231
87,2004,North America,161008
88,2004,Oceania,16995
89,2004,South America,178493
90,2005,Africa,3777836
91,2005,Asia,4051619
92,2005,Europe,61857
93,2005,North America,156149
94,2005,Oceania,16887
95,2005,South America,167077
96,2006,Africa,3704792
97,2006,Asia,3865885
98,2006,Europe,59698
99,2006,North America,151480
100,2006,Oceania,16757
101,2006,South America,156885
102,2007,Africa,3629004
103,2007,Asia,3684428
104,2007,Europe,57765
105,2007,North America,146974
106,2007,Oceania,16597
107,2007,South America,147781
108,2008,Africa,3553773
109,2008,Asia,3539305
110,2008,Europe,56048
111,2008,North America,142631
112,2008,Oceania,16412
113,2008,South America,139736
114,2009,Africa,3477892
115,2009,Asia,3336302
116,2009,Europe,54540
117,2009,North America,138390
118,2009,Oceania,16219
119,2009,South America,132740
120,2010,Africa,3409481
121,2010,Asia,3163918
122,2010,Europe,53229
123,2010,North America,170436
124,2010,Oceania,15936
125,2010,South America,126595
126,2011,Africa,3345486
127,2011,Asia,3002304
128,2011,Europe,51960
129,2011,North America,130067
130,2011,Oceania,15658
131,2011,South America,121205
132,2012,Africa,3283786
133,2012,Asia,2855635
134,2012,Europe,50602
135,2012,North America,126404
136,2012,Oceania,15394
137,2012,South America,116502
138,2013,Africa,3227619
139,2013,Asia,2713243
140,2013,Europe,49044
141,2013,North America,122783
142,2013,Oceania,15122
143,2013,South America,112433
144,2014,Africa,3178569
145,2014,Asia,2576651
146,2014,Europe,47191
147,2014,North America,119324
148,2014,Oceania,14855
149,2014,South America,108918
150,2015,Africa,3133449
151,2015,Asia,2446846
152,2015,Europe,45058
153,2015,North America,115985
154,2015,Oceania,14581
155,2015,South America,106162
156,2016,Africa,3081044
157,2016,Asia,2325725
158,2016,Europe,42845
159,2016,North America,112798
160,2016,Oceania,14341
161,2016,South America,109086
